plant_species	bee_species	plant_identification	layer	weight
Acacia_auriculiformis	Tetragonula_iridipennis	palynological	Indo-Malayan-Australasia	1
Acacia_auriculiformis	Heterotrigona_itama	chemical	Indo-Malayan-Australasia	1
Adenocalymma_inundatum	Melipona_fasciculata	palynological	Neotropics	1
Adenocalymma_inundatum	Melipona_flavolineata	palynological	Neotropics	1
Adenocalymma_inundatum	Melipona_seminigra	palynological	Neotropics	1
Agathis_borneensis	Homotrigona_haematoptera	chemical	Indo-Malayan-Australasia	1
Agathis_borneensis	Heterotrigona_erythrogastra	chemical	Indo-Malayan-Australasia	1
Agathis_borneensis	Geniotrigona_thoracica	chemical	Indo-Malayan-Australasia	1
Agathis_borneensis	Homotrigona_apicalis	chemical	Indo-Malayan-Australasia	1
Agathis_borneensis	Homotrigona_canifrons	chemical	Indo-Malayan-Australasia	1
Agathis_borneensis	Tetragonula_geissleri	chemical	Indo-Malayan-Australasia	1
Agathis_borneensis	Tetragonula_laeviceps	chemical	Indo-Malayan-Australasia	1
Agathis_borneensis	Tetragonula_melanocephala	chemical	Indo-Malayan-Australasia	1
Agathis_borneensis	Tetragonula_collina	chemical	Indo-Malayan-Australasia	1
Agathis_borneensis	Geniotrigona_thoracica	field_work	Indo-Malayan-Australasia	1
Agathis_borneensis	Homotrigona_canifrons	field_work	Indo-Malayan-Australasia	1
Agathis_borneensis	Heterotrigona_erythrogastra	field_work	Indo-Malayan-Australasia	1
Agathis_borneensis	Tetragonula_collina	field_work	Indo-Malayan-Australasia	1
Agathis_borneensis	Homotrigona_haematoptera	field_work	Indo-Malayan-Australasia	1
Alangium_salviifolium	Tetragonula_iridipennis	palynological	Indo-Malayan-Australasia	1
Albizia_lebbeck	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Alstonia_scholaris	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Anacardium_occidentale	Wallacetrigona_incisa	chemical	Indo-Malayan-Australasia	1
Anadenanthera_colubrina	Melipona_subnitida	chemical	Neotropics	1
Antigonon_leptopus	Trigona_recursa	palynological	Neotropics	1
Araucaria_angustifolia	Plebeia_remota	field_work	Neotropics	1
Araucaria_angustifolia	Plebeia_droryana	field_work	Neotropics	1
Araucaria_angustifolia	Scaptotrigona_bipunctata	field_work	Neotropics	1
Araucaria_angustifolia	Tetragona_clavipes	field_work	Neotropics	1
Araucaria_bidwillii	Tetragonula_carbonaria	chemical	Indo-Malayan-Australasia	1
Araucaria_cunninghamii	Tetragonula_carbonaria	chemical	Indo-Malayan-Australasia	1
Araucaria_cunninghamii	Tetragonula_carbonaria	chemical	Indo-Malayan-Australasia	1
Argemone_mexicana	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Artocarpus_heterophyllus	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Artocarpus_heterophyllus	Tetragonula_iridipennis	palynological	Indo-Malayan-Australasia	1
Attalea_speciosa	Melipona_fasciculata	palynological	Neotropics	1
Attalea_speciosa	Melipona_flavolineata	palynological	Neotropics	1
Attalea_speciosa	Melipona_seminigra	palynological	Neotropics	1
Attalea_speciosa	Melipona_subnitida	palynological	Neotropics	1
Azadirachta_indica	Tetragonula_iridipennis	palynological	Indo-Malayan-Australasia	1
Baeckea_frutescens	Heterotrigona_itama	chemical	Indo-Malayan-Australasia	1
Balanophora_harlandii	Melipona_orbignyi	chemical	Neotropics	1
Barleria_cristata	Tetragonula_iridipennis	palynological	Indo-Malayan-Australasia	1
Bauhinia_reflexa	Melipona_fasciculata	palynological	Neotropics	1
Bombax_ceiba	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Bombax_ceiba	Tetragonula_iridipennis	palynological	Indo-Malayan-Australasia	1
Borassus_flabellifer	Tetragonula_iridipennis	palynological	Indo-Malayan-Australasia	1
Borreria_latifolia	Melipona_fasciculata	palynological	Neotropics	1
Borreria_latifolia	Melipona_flavolineata	palynological	Neotropics	1
Borreria_latifolia	Melipona_subnitida	palynological	Neotropics	1
Borreria_latifolia	Melipona_fasciculata	palynological	Neotropics	1
Borreria_verticillata	Melipona_fasciculata	palynological	Neotropics	1
Borreria_verticillata	Melipona_flavolineata	palynological	Neotropics	1
Borreria_verticillata	Melipona_subnitida	palynological	Neotropics	1
Borreria_verticillata	Melipona_seminigra	palynological	Neotropics	1
Borreria_verticillata	Scaptotrigona_postica	palynological	Neotropics	1
Borreria_verticillata	Scaptotrigona_postica	palynological	Neotropics	1
Borreria_verticillata	Melipona_fasciculata	palynological	Neotropics	1
Butea_monosperma	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Callitris_columellaris	Tetragonula_carbonaria	chemical	Indo-Malayan-Australasia	1
Calotropis_gigantea	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Canarium_odontophyllum	Geniotrigona_thoracica	chemical	Indo-Malayan-Australasia	1
Canarium_odontophyllum	Homotrigona_canifrons	chemical	Indo-Malayan-Australasia	1
Carica_papaya	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Cascabela_thevetia	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Catharanthus_roseus	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Ceiba_pentandra	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Ceiba_pentandra	Tetragonula_iridipennis	palynological	Indo-Malayan-Australasia	1
Cleome_viscosa	Tetragonula_iridipennis	field_work	Indo-Malayan-Australasia	1
Clusia_grandiflora	Paratrigona_anduzei	chemical	Neotropics	1
Clusia_major	Frieseomelitta_varia	chemical	Neotropics	1
Clusia_major	Melipona_favosa	chemical	Neotropics	1
Clusia_major	Melipona_compressipes	chemical	Neotropics	1
Clusia_major	Scaptotrigona_depilis	chemical	Neotropics	1
Clusia_minor	Frieseomelitta_varia	chemical	Neotropics	1
Clusia_minor	Melipona_favosa	chemical	Neotropics	1
Clusia_minor	Melipona_compressipes	chemical	Neotropics	1
Clusia_minor	Scaptotrigona_depilis	chemical	Neotropics	1
Clusia_fluminensis	Trigona_spinipes	field_work	Neotropics	1
Clusia_fluminensis	Tetragonisca_angustula	field_work	Neotropics	1
Clusia_fluminensis	Trigona_spinipes	field_work	Neotropics	1
Clusia_fluminensis	Plebeia_lucii	field_work	Neotropics	1
Clusia_grandiflora	Melipona_flavolineata	palynological	Neotropics	1
Clusia_grandiflora	Melipona_seminigra	palynological	Neotropics	1
Clusia_grandiflora	Melipona_subnitida	palynological	Neotropics	1
Clusia_lanceolata	Trigona_spinipes	field_work	Neotropics	1
Coccinia_grandis	Tetragonula_iridipennis	palynological	Indo-Malayan-Australasia	1
Cocos_nucifera	Tetragonula_iridipennis	palynological	Indo-Malayan-Australasia	1
Coriandrum_sativum	Tetragonula_iridipennis	palynological	Indo-Malayan-Australasia	1
Corymbia_citriodora	Trigona_spinipes	field_work	Neotropics	1
Corymbia_torelliana	Tetragonula_carbonaria	chemical	Indo-Malayan-Australasia	1
Corymbia_torelliana	Tetragonula_carbonaria	chemical	Indo-Malayan-Australasia	1
Corymbia_torelliana	Tetragonula_carbonaria	chemical	Indo-Malayan-Australasia	1
Corymbia_torelliana	Tetragonula_carbonaria	chemical	Indo-Malayan-Australasia	1
Corymbia_torelliana	Tetragonula_carbonaria	chemical	Indo-Malayan-Australasia	1
Corymbia_torelliana	Tetragonula_sapiens	field_work	Indo-Malayan-Australasia	1
Corymbia_torelliana	Tetragonula_hockingsi	field_work	Indo-Malayan-Australasia	1
Corymbia_torelliana	Tetragonula_carbonaria	field_work	Indo-Malayan-Australasia	1
Cratoxylum_cochinchinense	Lisotrigona_carpenteri	chemical	Indo-Malayan-Australasia	1
Cratoxylum_cochinchinense	Lisotrigona_furva	chemical	Indo-Malayan-Australasia	1
Cratoxylum_cochinchinense	Lisotrigona_cacciae	chemical	Indo-Malayan-Australasia	1
Croton_bonplandianus	Tetragonula_iridipennis	palynological	Indo-Malayan-Australasia	1
Croton_yucatanensis	Trigona_corvina	field_work	Neotropics	1
Croton_yucatanensis	Trigona_fulviventris	field_work	Neotropics	1
Croton_yucatanensis	Plebeia_frontalis	field_work	Neotropics	1
Cucumis_sativus	Tetragonula_iridipennis	palynological	Indo-Malayan-Australasia	1
Dacrydium_biforme	Frieseomelitta_silvestrii	chemical	Neotropics	1
Delonix_regia	Tetragonula_iridipennis	palynological	Indo-Malayan-Australasia	1
Dipterocarpus_applanatus	Homotrigona_canifrons	chemical	Indo-Malayan-Australasia	1
Dipterocarpus_grandiflorus	Homotrigona_fimbriata	field_work	Indo-Malayan-Australasia	1
Dipterocarpus_grandiflorus	Homotrigona_melanoleuca	field_work	Indo-Malayan-Australasia	1
Dipterocarpus_grandiflorus	Geniotrigona_thoracica	field_work	Indo-Malayan-Australasia	1
Dipterocarpus_grandiflorus	Homotrigona_apicalis	field_work	Indo-Malayan-Australasia	1
Dipterocarpus_grandiflorus	Tetragonula_collina	field_work	Indo-Malayan-Australasia	1
Dipterocarpus_grandiflorus	Tetragonula_atripes	field_work	Indo-Malayan-Australasia	1
Dipterocarpus_grandiflorus	Lepidotrigona_ventralis	field_work	Indo-Malayan-Australasia	1
Dipterocarpus_grandiflorus	Tetragonula_fuscobalteata	field_work	Indo-Malayan-Australasia	1
Dipterocarpus_grandiflorus	Tetragonula_laeviceps	field_work	Indo-Malayan-Australasia	1
