node	taxon	type
Axestotrigona_ferruginea	bee	1
Frieseomelitta_silvestrii	bee	1
Frieseomelitta_varia	bee	1
Geniotrigona_thoracica	bee	1
Heterotrigona_erythrogastra	bee	1
Heterotrigona_hobbyi	bee	1
Heterotrigona_itama	bee	1
Homotrigona_apicalis	bee	1
Homotrigona_binghami	bee	1
Homotrigona_canifrons	bee	1
Homotrigona_fimbriata	bee	1
Homotrigona_haematoptera	bee	1
Homotrigona_melanoleuca	bee	1
Lepidotrigona_ventralis	bee	1
Lisotrigona_cacciae	bee	1
Lisotrigona_carpenteri	bee	1
Lisotrigona_furva	bee	1
Melipona_beecheii	bee	1
Melipona_compressipes	bee	1
Melipona_fasciculata	bee	1
Melipona_favosa	bee	1
Melipona_flavolineata	bee	1
Melipona_marginata	bee	1
Melipona_orbignyi	bee	1
Melipona_quadrifasciata	bee	1
Melipona_scutelaris	bee	1
Melipona_scutellaris	bee	1
Melipona_seminigra	bee	1
Melipona_seminigra_merrillae	bee	1
Melipona_subnitida	bee	1
Paratrigona_anduzei	bee	1
Plebeia_droryana	bee	1
Plebeia_emerina	bee	1
Plebeia_frontalis	bee	1
Plebeia_lucii	bee	1
Plebeia_remota	bee	1
Scaptotrigona_bipunctata	bee	1
Scaptotrigona_depilis	bee	1
Scaptotrigona_jujuyensis	bee	1
Scaptotrigona_postica	bee	1
Tetragona_clavipes	bee	1
Tetragonisca_angustula	bee	1
Tetragonisca_fiebrigi	bee	1
Tetragonula_atripes	bee	1
Tetragonula_biroi	bee	1
Tetragonula_carbonaria	bee	1
Tetragonula_collina	bee	1
Tetragonula_fuscobalteata	bee	1
Tetragonula_geissleri	bee	1
Tetragonula_hockingsi	bee	1
Tetragonula_iridipennis	bee	1
Tetragonula_laeviceps	bee	1
Tetragonula_melanocephala	bee	1
Tetragonula_melina	bee	1
Tetragonula_minor	bee	1
Tetragonula_pagdeni	bee	1
Tetragonula_reepeni	bee	1
Tetragonula_rufibasalis	bee	1
Tetragonula_sapiens	bee	1
Trigona_corvina	bee	1
Trigona_fulviventris	bee	1
Trigona_recursa	bee	1
Trigona_spinipes	bee	1
Trigona_williana	bee	1
Wallacetrigona_incisa	bee	1
Acacia_auriculiformis	plant	2
Adenocalymma_inundatum	plant	2
Agathis_borneensis	plant	2
Alangium_salviifolium	plant	2
Albizia_lebbeck	plant	2
Alstonia_scholaris	plant	2
Anacardium_occidentale	plant	2
Anadenanthera_colubrina	plant	2
Anthoshorea_agami	plant	2
Anthoshorea_confusa	plant	2
Antigonon_leptopus	plant	2
Araucaria_angustifolia	plant	2
Araucaria_bidwillii	plant	2
Araucaria_cunninghamii	plant	2
Argemone_mexicana	plant	2
Artocarpus_heterophyllus	plant	2
Attalea_speciosa	plant	2
Azadirachta_indica	plant	2
Baeckea_frutescens	plant	2
Balanophora_harlandii	plant	2
Barleria_cristata	plant	2
Bauhinia_reflexa	plant	2
Bombax_ceiba	plant	2
Borassus_flabellifer	plant	2
Borreria_latifolia	plant	2
Borreria_verticillata	plant	2
Butea_monosperma	plant	2
Callitris_columellaris	plant	2
Calotropis_gigantea	plant	2
Canarium_odontophyllum	plant	2
Carica_papaya	plant	2
Cascabela_thevetia	plant	2
Catharanthus_roseus	plant	2
Ceiba_pentandra	plant	2
Cleome_viscosa	plant	2
Clusia_major	plant	2
Clusia_minor	plant	2
Clusia_fluminensis	plant	2
Clusia_grandiflora	plant	2
Clusia_lanceolata	plant	2
Coccinia_grandis	plant	2
Cocos_nucifera	plant	2
Coriandrum_sativum	plant	2
Corymbia_citriodora	plant	2
Corymbia_torelliana	plant	2
Cratoxylum_cochinchinense	plant	2
Croton_bonplandianus	plant	2
Croton_yucatanensis	plant	2
Cucumis_sativus	plant	2
Dacrydium_biforme	plant	2
Delonix_regia	plant	2
Dipterocarpus_applanatus	plant	2
Dipterocarpus_grandiflorus	plant	2
Dipterocarpus_stellatus	plant	2
Dipterocarpus_turbinatus	plant	2
Dracaena_cochinchinensis	plant	2
Dryobalanops_lanceolata	plant	2
Eucalyptus_camaldulensis	plant	2
Eucalyptus_cloeziana	plant	2
