Row.names	degr_mono	degr_mult	betw_mono	betw_mult	clos_mono	clos_mult	eigen_mono	eigen_mult	degr	ndegr	d	betw	wbetw	clos	wclos	withinMdegr	eigen	taxon	body_size_mean	module	included_in_phylogeny	biogeographical_region	number_of_interactions	number_of_articles	botanical_source_method
4	Frieseomelitta_varia	2	1	0	0	0.00492610837438424	0.00492610837438424	0	0.329480207875253	1	0.0294117647058824	0.419738513611089	0	0	0.0159914712153518	0.00722273536684115	-0.316227766016838	0.00166831690686248	bee	1.74	4	yes	Neotropical	30	2	chem_pal
5	Geniotrigona_thoracica	7	3	14.2368897733599	2.66666666666667	NA	0.00340136054421769	0.144810327853445	0.144810327853445	3	0.0882352941176471	0.175623287510691	0.00588172801897817	0.00333949342319817	0.0188851660067012	0.0106018176268576	0.449088713139072	0.143419990703685	bee	1.835	6	yes	Indo-Malayan-Australasian	7	3	chem_field
6	Heterotrigona_erythrogastra	3	2	2.21735504621196	207.916666666667	NA	0.00429184549356223	0.0414737856778684	0.0414737856778684	2	0.0588235294117647	0.187764235665638	0.00588172801897817	0.00281769757582346	0.0188851660067012	0.00841436143860241	-0.447213595499958	0.0410253509958459	bee	1.15	6	yes	Indo-Malayan-Australasian	3	2	chem_field
8	Heterotrigona_itama	9	5	193.458386156233	166.516666666667	NA	0.00413223140495868	0.108720334273128	0.108720334273128	5	0.147058823529412	0.0748780048688691	0.140620234515572	0.109968474834221	0.023758757234237	0.0110512441958221	-0.504016128774185	0.108674902277923	bee	1.27	8	yes	Indo-Malayan-Australasian	9	5	chem_field
9	Homotrigona_apicalis	7	3	10.8842221271169	18.6666666666667	NA	0.0037037037037037	0.174970999072294	0.174970999072294	3	0.0882352941176471	0.152526177269554	0.00588172801897817	0	0.0188851660067012	0.0101950052230574	0.449088713139072	0.173354329579819	bee	1.511	6	yes	Indo-Malayan-Australasian	8	4	chem_field
10	Homotrigona_binghami	7	1	0	0	NA	0.00172117039586919	0.237521965602988	0.237521965602987	1	0.0294117647058824	0.186547263972624	0	0	0.017590618336887	0.0111760152517283	-0.823329307421632	0.235419400412265	bee	1.495	6	yes	Indo-Malayan-Australasian	7	2	chem_field
11	Homotrigona_canifrons	12	4	44.1197216104255	1.58333333333333	NA	0.00326797385620915	0.249281422980087	0.249281422980086	4	0.117647058823529	0.234910550542794	0.00588172801897817	0.00490488096532232	0.0188851660067012	0.0117633162836099	1.72150673369978	0.246919811059006	bee	1.805	6	yes	Indo-Malayan-Australasian	12	2	chem_field
12	Homotrigona_fimbriata	9	1	0	0	NA	0.00145560407569141	0.305385384346699	0.305385384346698	1	0.0294117647058824	0.21509260343658	0	0	0.017590618336887	0.0120025244053236	-0.823329307421632	0.302682086244341	bee	1.925	6	yes	Indo-Malayan-Australasian	9	3	chem_field
14	Homotrigona_melanoleuca	5	2	10.7889637911408	0	NA	0.00353356890459364	0.13650204062573	0.13650204062573	2	0.0588235294117647	0.086594489806975	0.0436820345111802	0	0.0203320134023759	0.00923698837971114	-0.823329307421632	0.135359530117583	bee	1.588	6	yes	Indo-Malayan-Australasian	5	2	chem_field
15	Lepidotrigona_ventralis	8	2	11.1403312017219	0	NA	0.00353356890459364	0.239894417325346	0.239894417325346	2	0.0588235294117647	0.146174859058073	0.0200652571020276	0	0.0203320134023759	0.0118944979854201	-0.823329307421632	0.271793319415011	bee	1.44	6	yes	Indo-Malayan-Australasian	9	3	chem_field
17	Lisotrigona_cacciae	5	4	84.9061130786356	127.533333333333	NA	0.00408163265306122	0.00557759858104689	0.00557759858104703	4	0.117647058823529	0.447292377950841	0.0369205808927638	0.00952277421458854	0.0191897654584222	0.00834305449662724	2.1840698913548	0.00637809879705754	bee	0.819	8	no	Indo-Malayan-Australasian	5	2	chem
19	Lisotrigona_furva	4	3	77.1368777071975	167.833333333333	NA	0.00431034482758621	0.0387276829856667	0.0387276829856667	3	0.0882352941176471	0.223199472868963	0.0457474488387568	0.0191759973910208	0.0205604629911666	0.0081966688240982	0.840026881290309	0.0391680692011485	bee	1.027	6	yes	Indo-Malayan-Australasian	4	2	chem
21	Melipona_compressipes	4	2	100	0	0.0053475935828877	0.0053475935828877	0	0.403431674436455	2	0.0588235294117647	0.424809797874744	0.00791938278962214	0.0113055766931188	0.0170575692963753	0.00811712565232597	-0.316227766016838	0.00261494931844183	bee	3.725	8	yes	Neotropical	4	3	chem_field
22	Melipona_fasciculata	5	4	102	102	0.00584795321637427	0.00584795321637427	0	0.0575819703244253	4	0.117647058823529	0.741075688975026	0.00101896071664267	0	0.0151538227231191	0.00403593496098386	1.5	0.000676565609503264	bee	3.3	3	yes	Neotropical	114	4	chem_pal
23	Melipona_favosa	3	2	50	150	0.00549450549450549	0.00549450549450549	0	0.366455941155854	2	0.0588235294117647	0.364802603975363	0.00791938278962214	0.0113055766931188	0.0170575692963753	0.00746218989274476	-0.316227766016838	0.00214163311265217	bee	2.633	8	yes	Neotropical	3	2	chem_field
26	Melipona_marginata	1	1	0	0	0.00564971751412429	0.00564971751412429	0	0.0482055634835078	1	0.0294117647058824	0.308190753907131	0	0	0.0146207736826074	0.0039443258731485	-0.408248290463863	0.000514930491383545	bee	2.299	1	yes	Neotropical	1	1	chem
28	Melipona_quadrifasciata	3	3	117	117	0.00598802395209581	0.00598802395209581	0	0.0511908208282659	4	0.117647058823529	0.408054704106736	0.0472551824347693	0.0344167844330906	0.01850441669205	0.00933498101775185	-0.504016128774185	0.00877091079269006	bee	3.2105	9	yes	Neotropical	48	9	chem_field_pal
29	Melipona_scutellaris	4	3	106.25	320	0.0072992700729927	0.0072992700729927	0	0.388221841086989	4	0.117647058823529	0.352786344484994	0.0333870243752112	0.0384607022502446	0.0198751142247944	0.00906637576006268	2.84604989415154	0.00493140123126623	bee	3.912	6	yes	Neotropical	4	3	chem_field
32	Melipona_subnitida	1	1	0	0	0.0029673590504451	0.0029673590504451	0	0.00212218014813387	1	0.0294117647058824	0.852820313082015	0	0	0.0106609808102345	0.00302019353557056	-0.391914040257088	4.26620734485228e-06	bee	3.05	3	no	Neotropical	84	3	chem_pal
34	Paratrigona_anduzei	1	1	0	0	0.00595238095238095	0.00595238095238095	0	0.164740103937626	1	0.0294117647058824	0.343662250536798	0	0	0.0159914712153518	0.00424636219947618	-0.316227766016838	0.000834158453431243	bee	2	8	no	Neotropical	1	1	chem
35	Plebeia_droryana	1	1	0	0	0.00440528634361234	0.00440528634361234	0	0.00155846583726389	2	0.0588235294117647	0.201455812251067	0.0118315511667847	0	0.0189613158696314	0.00599143555553217	-0.447213595499958	0.00643958012661156	bee	1.476	6	yes	Neotropical	2	1	field
36	Plebeia_emerina	1	1	0	0	0.00454545454545455	0.00454545454545455	0	0.00517287209242128	1	0.0294117647058824	0.558460939246044	0	0	0.0137069753274444	0.00399800881491615	-0.391914040257088	0.00013813242402025	bee	1.24	7	no	Neotropical	1	1	field
37	Plebeia_frontalis	1	1	0	0	0.00454545454545455	0.00454545454545455	0	0.00517287209242128	1	0.0294117647058824	0.558460939246044	0	0	0.0137069753274444	0.00399800881491615	-0.391914040257088	0.000138132424020261	bee	1.02	7	yes	Neotropical	1	1	field
38	Plebeia_lucii	1	1	0	0	0.00595238095238095	0.00595238095238095	0	0.164740103937626	1	0.0294117647058824	0.343662250536798	0	0	0.0159914712153518	0.00424636219947618	-0.316227766016838	0.000834158453431243	bee	1	8	no	Neotropical	1	1	field
39	Plebeia_remota	2	2	84.6666666666667	84.6666666666667	0.00591715976331361	0.00591715976331361	0	0.0497640293207716	3	0.0882352941176471	0.149303592489897	0.0281368794696004	0.00641374062398087	0.0198751142247944	0.0070258377604668	-0.447213595499958	0.00695451061799512	bee	1.865	6	no	Neotropical	3	2	chem_field
40	Scaptotrigona_bipunctata	2	2	3.66666666666667	3.66666666666667	0.00448430493273543	0.00448430493273543	0	0.00302998053166955	2	0.0588235294117647	0.547764709964848	0.000532967869651287	0	0.0156107219007006	0.00423055715216329	1.78885438199983	0.00371112205817967	bee	2.32	6	yes	Neotropical	1	1	chem_field
41	Scaptotrigona_depilis	2	1	0	0	0.00492610837438424	0.00492610837438424	0	0.329480207875253	1	0.0294117647058824	0.419738513611089	0	0	0.0159914712153518	0.00722273536684115	-0.316227766016838	0.00166831690686248	bee	1.71	8	yes	Neotropical	2	2	chem
43	Scaptotrigona_postica	3	2	68	68	0.00371747211895911	0.00371747211895911	0	0.0760736467093354	4	0.117647058823529	0.454550871663326	0.0741696980955088	0.0322208935753886	0.0182759671032592	0.00712140734844209	-0.0356285491142808	0.0037675762132611	bee	2.257	3	yes	Neotropical	88	5	chem_pal
45	Tetragona_clavipes	2	2	6.66666666666667	6.66666666666667	0.00452488687782805	0.00452488687782805	0	0.00307220848761643	2	0.0588235294117647	0.498705898060375	0.0144383692849707	0.000913142732905751	0.0158391714894913	0.0042923901840365	-0.5	0.00371113806281207	bee	1.886	6	yes	Neotropical	2	2	field
46	Tetragonisca_angustula	2	2	155	155	0.00632911392405063	0.00632911392405063	0	0.169912976030048	3	0.0882352941176471	0.498109744706751	0.0847086589518476	0.129666268072617	0.0201035638135851	0.0150354127752172	-0.504016128774185	0.0283980517445273	bee	1.257	9	yes	Neotropical	97	7	chem_field_pal
