Row.names	degr_mono	degr_mult	betw_mono	betw_mult	clos_mono	clos_mult	eigen_mono	eigen_mult	degr	ndegr	d	betw	wbetw	clos	wclos	withinMdegr	eigen	taxon	body_size_mean	module	included_in_phylogeny	biogeographical_region	number_of_interactions	number_of_articles	botanical_source_method
4	Frieseomelitta_varia	30	23	381.257785353282	564.488887486029	0.00323624595469256	0.00323624595469256	0.087766448486634	0.087766448486634	23	0.227722772277228	0.229581457451881	0.0296935675510629	0	0.0177019633086579	0.0120588476881958	0.50871239713813	0.0878199995583746	bee	1.74	4	yes	Neotropical	30	2	chem_pal
5	Geniotrigona_thoracica	7	3	12.6975179148373	2.66666666666667	NA	0.00227272727272727	0	0.144272596910304	3	0.0297029702970297	0.326932041660445	0.00383939030914127	6.60523795369728e-05	0.0145907091513786	0.00719883664029915	1.37740765417331	0.000938918218487848	bee	1.835	6	yes	Indo-Malayan-Australasian	7	3	chem_field
6	Heterotrigona_erythrogastra	3	2	1.44449571689047	114.25	NA	0.00303951367781155	2.76376267086052e-18	0.0413172879583538	2	0.0198019801980198	0.326251249299725	0.00383939030914127	0	0.0145907091513786	0.00457048848559075	0.284980893966892	0.000296187307100623	bee	1.15	6	yes	Indo-Malayan-Australasian	3	2	chem_field
8	Heterotrigona_itama	9	5	96.4581361982559	355.083333333333	NA	0.0032258064516129	5.52752534172103e-18	0.111349684950067	5	0.0495049504950495	0.0501410155063693	0.0937010641848149	0	0.019311232700354	0.00819190414624925	-0.807445866239528	0.0410191945898417	bee	1.27	8	yes	Indo-Malayan-Australasian	9	5	chem_field
9	Homotrigona_apicalis	7	3	11.076919063665	18.6666666666667	NA	0.00240963855421687	0	0.174328953010122	3	0.0297029702970297	0.30780135054354	0.00383939030914127	0	0.0145907091513786	0.00726746290543207	1.37740765417331	0.0011105760675094	bee	1.511	6	yes	Indo-Malayan-Australasian	8	4	chem_field
10	Homotrigona_binghami	7	1	0	0	NA	0.00130039011703511	0	0.236670000368642	1	0.0099009900990099	0.334912676914336	0	0	0.013732432142474	0.00868777107731962	-0.807445866239528	0.0014921736786687	bee	1.495	6	yes	Indo-Malayan-Australasian	7	2	chem_field
11	Homotrigona_canifrons	12	4	47.8000617276731	1.58333333333333	NA	0.00214132762312634	0	0.248351295474906	4	0.0396039603960396	0.379406142789998	0.011169254730128	0.000264209518147891	0.0154489861602832	0.0089286122660447	1.37740765417331	0.00267110846907043	bee	1.805	6	yes	Indo-Malayan-Australasian	12	2	chem_field
12	Homotrigona_fimbriata	9	1	0	0	NA	0.0011001100110011	0	0.304290000473968	1	0.0099009900990099	0.368760944535021	0	0	0.013732432142474	0.00988160968015356	-0.807445866239528	0.00191850901543117	bee	1.925	6	yes	Indo-Malayan-Australasian	9	3	chem_field
14	Homotrigona_melanoleuca	5	2	14.1028560560394	0	NA	0.0025	0	0.13601255600328	2	0.0198019801980198	0.234795697986789	0.0405207723861426	0	0.0164145477953009	0.00619717118780444	-0.807445866239528	0.00182029222841598	bee	1.588	6	yes	Indo-Malayan-Australasian	5	2	chem_field
15	Lepidotrigona_ventralis	8	2	9.92921076085968	0	NA	0.00244498777506112	0	0.239526107157508	2	0.0198019801980198	0.296993150731317	0.0316870158835341	0	0.017219182491149	0.00973750776610977	-0.807445866239528	0.00487072032899751	bee	1.44	6	yes	Indo-Malayan-Australasian	9	3	chem_field
16	Lestrimelitta_limao	26	23	169.53430648526	664.143996385978	0.0033112582781457	0.0033112582781457	0.056753080532385	0.0567530805323849	23	0.227722772277228	0.220238287579499	0.0215708002793785	0	0.0170582555519794	0.0117659236452073	0.730695988616586	0.0570100872724923	bee	2.181	9	yes	Neotropical	26	1	pal
17	Lisotrigona_cacciae	5	4	122.465679613434	129	NA	0.00269541778975741	3.31651520503262e-17	0.00654503198146933	4	0.0396039603960396	0.44503585498876	0.013812536186754	0.000326959278708015	0.0162536208561313	0.00569572207360402	-0.934180947471838	0.00757900698698807	bee	0.819	8	no	Indo-Malayan-Australasian	5	2	chem
19	Lisotrigona_furva	4	3	94.0129552995328	207.833333333333	NA	0.00314465408805031	5.52752534172103e-18	0.0395749945100487	3	0.0297029702970297	0.256445733002564	0.0471593700403956	0.00404240562766274	0.0173801094303186	0.00501360309240442	-1.04517274321107	0.00682278555592253	bee	1.027	6	yes	Indo-Malayan-Australasian	4	2	chem
20	Melipona_beecheii	2	2	117	117	0.00206611570247934	0.00206611570247934	0.000326155749708903	0.000326155749708883	2	0.0198019801980198	0.858893356976691	0	0	0.0101920394807424	0.00200709701055135	-0.353553390593274	0.000311976321185035	bee	2.6809	7	yes	Neotropical	2	1	chem
21	Melipona_compressipes	4	2	1.0923128272203	0	0.0017636684303351	0.0017636684303351	0.0330617374349047	0.0330617374349047	2	0.0198019801980198	0.208566421504345	0.00402226480563175	0	0.0148052784036048	0.00590382467924651	-0.333333333333333	0.0324780556775032	bee	3.725	8	yes	Neotropical	4	3	chem_field
22	Melipona_fasciculata	114	41	1326.10204031705	1248.16463120614	0.00336700336700337	0.00336700336700337	0.586193927284721	0.586193927284721	41	0.405940594059406	0.219144381096148	0.041236406575323	0.13375606856237	0.0183456710653363	0.0149937547690566	1.51617194986546	0.57984805683834	bee	3.3	3	yes	Neotropical	114	4	chem_pal
23	Melipona_favosa	3	2	0.54615641361015	11.5343037640864	0.00190114068441065	0.00190114068441065	0.0175240669543649	0.0175240669543649	2	0.0198019801980198	0.242839333066749	0.00402226480563175	0	0.0148052784036048	0.00492422601286778	-0.333333333333333	0.0172066493936426	bee	2.633	8	yes	Neotropical	3	2	chem_field
24	Melipona_flavolineata	74	30	567.651432749455	381.879356247642	0.00303030303030303	0.00303030303030303	0.42549203145011	0.42549203145011	30	0.297029702970297	0.159446004968435	0.0430121322804583	0.0126457280623535	0.0183456710653363	0.0143840913760475	0.99748154596412	0.421094350991916	bee	2.671	3	yes	Neotropical	74	1	pal
25	Melipona_mandacaia	24	15	64.461448897614	267.400052593816	0.00302114803625378	0.00302114803625378	0.0277337606153336	0.0277337606153336	15	0.148514851485149	0.464653479824621	0.00323254993931997	0	0.0156099130994528	0.0112207601759296	NA	0.0279361159332445	bee	2.708	2	yes	Neotropical	24	1	pal
26	Melipona_marginata	1	1	0	0	0.00224215246636771	0.00224215246636771	0.00236822849860285	0.00236822849860286	1	0.0099009900990099	0.19812215325239	0	0	0.0138397167685871	0.00202678065138475	-0.353553390593274	0.00253849949819059	bee	2.299	1	yes	Neotropical	1	1	chem
28	Melipona_quadrifasciata	47	26	556.111236269839	486.119134961194	0.003003003003003	0.003003003003003	0.143045197925452	0.143045197925452	26	0.257425742574257	0.232427849947692	0.0156018788421405	0.00653918557416031	0.0165754747344706	0.0134015640575771	0.841687784355814	0.144053119206538	bee	3.2105	9	yes	Neotropical	48	9	chem_field_pal
29	Melipona_scutellaris	5	4	119.001904189496	130.930599605313	0.00255102040816327	0.00255102040816327	0.00735856534888531	0.00735856534888531	4	0.0396039603960396	0.373016013665912	0.0108865513683267	0	0.0165754747344706	0.00591503615050037	2.66666666666667	0.00764090356974013	bee	3.912	6	yes	Neotropical	4	3	chem_field
30	Melipona_seminigra	72	34	735.202225445171	585.305866720837	0.00307692307692308	0.00307692307692308	0.337323340448373	0.337323340448373	34	0.336633663366337	0.151135777900195	0.0610658635162272	0.0660160507282275	0.018506598004506	0.0144623077837885	1.20495770752466	0.334463320321207	bee	3.02	3	yes	Neotropical	1	1	field
32	Melipona_subnitida	80	37	909.637060590685	885.991690914861	0.00323624595469256	0.00323624595469256	0.429740951714036	0.429740951714036	37	0.366336633663366	0.16296019740084	0.0610658635162272	0.029456058654513	0.018506598004506	0.0144840058686099	1.30869578830493	0.42547767829117	bee	3.05	3	no	Neotropical	84	3	chem_pal
33	Nannotrigona_testaceicornis	23	19	60.8231070965118	340.076014432024	0.00318471337579618	0.00318471337579618	0.070137316912125	0.0701373169121249	19	0.188118811881188	0.171192655448895	0.0179067386830423	0	0.0170582555519794	0.0117180234770096	0.175737009920445	0.0703275310413515	bee	1.624	9	yes	Neotropical	23	1	pal
34	Paratrigona_anduzei	1	1	0	0	0.0021505376344086	0.0021505376344086	0.000993198236912576	0.00099319823691257	1	0.0099009900990099	0.327453216639655	0	0	0.0133569359510782	0.00208006110602128	-0.333333333333333	0.000967621554891015	bee	2	8	no	Neotropical	1	1	chem
35	Plebeia_droryana	2	2	31.9780383150916	36.1635193526493	0.00240384615384615	0.00240384615384615	0.00300473240045141	0.0030047324004514	2	0.0198019801980198	0.266787487619523	0.0126174919148606	0	0.0162536208561313	0.00337535719385402	-0.807445866239528	0.00320688880130728	bee	1.476	6	yes	Neotropical	2	1	field
36	Plebeia_emerina	1	1	0	0	0.0021505376344086	0.0021505376344086	0.0034964252926698	0.00349642529266979	1	0.0099009900990099	0.250160148387898	0	0	0.013035082072739	0.00201588168911116	-0.766065827300444	0.00354207026438571	bee	1.24	7	no	Neotropical	1	1	field
37	Plebeia_frontalis	1	1	0	0	0.0021505376344086	0.0021505376344086	0.0034964252926698	0.00349642529266979	1	0.0099009900990099	0.250160148387898	0	0	0.013035082072739	0.00201588168911116	-0.766065827300444	0.00354207026438571	bee	1.02	7	yes	Neotropical	1	1	field
38	Plebeia_lucii	1	1	0	0	0.0021505376344086	0.0021505376344086	0.000993198236912576	0.000993198236912569	1	0.0099009900990099	0.327453216639655	0	0	0.0133569359510782	0.00208006110602128	-0.333333333333333	0.000967621554891017	bee	1	8	no	Neotropical	1	1	field
39	Plebeia_remota	3	3	61.9917168703817	62.2695544653534	0.00253164556962025	0.00253164556962025	0.00537296089905426	0.00537296089905425	3	0.0297029702970297	0.192055671940137	0.0177639035754727	0	0.0167364016736402	0.00375236918942046	-0.353553390593274	0.00574538829949785	bee	1.865	6	no	Neotropical	3	2	chem_field
40	Scaptotrigona_bipunctata	2	2	2.12251763801061	12.6109629726483	0.00202429149797571	0.00202429149797571	5.08159322630809e-05	5.08159322630711e-05	2	0.0198019801980198	0.578283047792153	0.000966714686481159	0	0.0127668705074563	0.00205197974347691	-0.807445866239528	8.84215672506046e-05	bee	2.32	6	yes	Neotropical	1	1	chem_field
41	Scaptotrigona_depilis	2	1	0	0	0.00171821305841924	0.00171821305841924	0.00198639647382515	0.00198639647382514	1	0.0099009900990099	0.442036632786155	0	0	0.0133569359510782	0.00382070338674732	-0.333333333333333	0.00193524310978203	bee	1.71	8	yes	Neotropical	2	2	chem
43	Scaptotrigona_postica	90	35	772.871121136545	884.100857257538	0.00327868852459016	0.00327868852459016	0.583276790220975	0.583276790220975	36	0.356435643564356	0.205996034284438	0.0385922631337658	0.0937943789425014	0.0175410363694883	0.0147871835483101	0.99748154596412	0.577149965362397	bee	2.257	3	yes	Neotropical	88	5	chem_pal
