node_from	node_to	layer_from	layer_to	weight
Acanthaceae	Acanthaceae	Neotropics	Indo-Malayan-Australasia	1
Anacardiaceae	Anacardiaceae	Neotropics	Indo-Malayan-Australasia	1
Apiaceae	Apiaceae	Neotropics	Indo-Malayan-Australasia	1
Apocynaceae	Apocynaceae	Neotropics	Indo-Malayan-Australasia	1
Araucariaceae	Araucariaceae	Neotropics	Indo-Malayan-Australasia	1
Arecaceae	Arecaceae	Neotropics	Indo-Malayan-Australasia	1
Asteraceae	Asteraceae	Neotropics	Indo-Malayan-Australasia	1
Burseraceae	Burseraceae	Neotropics	Indo-Malayan-Australasia	1
Cannabaceae	Cannabaceae	Neotropics	Indo-Malayan-Australasia	1
Clusiaceae	Clusiaceae	Neotropics	Indo-Malayan-Australasia	1
Combretaceae	Combretaceae	Neotropics	Indo-Malayan-Australasia	1
Cucurbitaceae	Cucurbitaceae	Neotropics	Indo-Malayan-Australasia	1
Euphorbiaceae	Euphorbiaceae	Neotropics	Indo-Malayan-Australasia	1
Fabaceae	Fabaceae	Neotropics	Indo-Malayan-Australasia	1
Hypericaceae	Hypericaceae	Neotropics	Indo-Malayan-Australasia	1
Lamiaceae	Lamiaceae	Neotropics	Indo-Malayan-Australasia	1
Malvaceae	Malvaceae	Neotropics	Indo-Malayan-Australasia	1
Meliaceae	Meliaceae	Neotropics	Indo-Malayan-Australasia	1
Moraceae	Moraceae	Neotropics	Indo-Malayan-Australasia	1
Myrtaceae	Myrtaceae	Neotropics	Indo-Malayan-Australasia	1
Pinaceae	Pinaceae	Neotropics	Indo-Malayan-Australasia	1
Poaceae	Poaceae	Neotropics	Indo-Malayan-Australasia	1
Rhamnaceae	Rhamnaceae	Neotropics	Indo-Malayan-Australasia	1
Rubiaceae	Rubiaceae	Neotropics	Indo-Malayan-Australasia	1
Rutaceae	Rutaceae	Neotropics	Indo-Malayan-Australasia	1
Sapotaceae	Sapotaceae	Neotropics	Indo-Malayan-Australasia	1
Solanaceae	Solanaceae	Neotropics	Indo-Malayan-Australasia	1
