Species	Layer
Axestotrigona_ferruginea	Afrotropics
Frieseomelitta_longipes	Neotropics
Frieseomelitta_silvestrii	Neotropics
Frieseomelitta_varia	Neotropics
Geniotrigona_thoracica	Indo-Malayan
Heterotrigona_erythrogastra	Indo-Malayan
Heterotrigona_hobbyi	Indo-Malayan
Heterotrigona_itama	Indo-Malayan
Homotrigona_apicalis	Indo-Malayan
Homotrigona_binghami	Indo-Malayan
Homotrigona_canifrons	Indo-Malayan
Homotrigona_fimbriata	Indo-Malayan
Homotrigona_haematoptera	Indo-Malayan
Homotrigona_melanoleuca	Indo-Malayan
Lepidotrigona_ventralis	Indo-Malayan
Lisotrigona_cacciae	Indo-Malayan
Lisotrigona_carpenteri	Indo-Malayan
Lisotrigona_furva	Indo-Malayan
Melipona_beecheii	Neotropics
Melipona_compressipes	Neotropics
Melipona_fasciculata	Neotropics
Melipona_favosa	Neotropics
Melipona_marginata	Neotropics
Melipona_quadrifasciata	Neotropics
Melipona_scutellaris	Neotropics
Melipona_seminigra_merrillae	Neotropics
Paratrigona_anduzei	Neotropics
Plebeia_droryana	Neotropics
Plebeia_emerina	Neotropics
Plebeia_frontalis	Neotropics
Plebeia_lucii	Neotropics
Plebeia_remota	Neotropics
Scaptotrigona_bipunctata	Neotropics
Scaptotrigona_depilis	Neotropics
Scaptotrigona_postica	Neotropics
Scaptotrigona_sp.	Neotropics
Tetragona_clavipes	Neotropics
Tetragonisca_angustula	Neotropics
Tetragonisca_fiebrigi	Neotropics
Tetragonula_atripes	Indo-Malayan
Tetragonula_biroi	Indo-Malayan
Tetragonula_carbonaria	Australian
Tetragonula_collina	Indo-Malayan
Tetragonula_fuscobalteata	Indo-Malayan
Tetragonula_geissleri	Indo-Malayan
Tetragonula_hockingsi	Australian
Tetragonula_iridipennis	Indo-Malayan
Tetragonula_laeviceps	Indo-Malayan
Tetragonula_melanocephala	Indo-Malayan
Tetragonula_melina	Indo-Malayan
Tetragonula_minor	Indo-Malayan
Tetragonula_pagdeni	Indo-Malayan
Tetragonula_reepeni	Indo-Malayan
Tetragonula_rufibasalis	Indo-Malayan
Tetragonula_sapiens	Australian
Trigona_corvina	Neotropics
Trigona_fulviventris	Neotropics
Trigona_spinipes	Neotropics
Trigona_williana	Neotropics
Wallacetrigona_incisa	Indo-Malayan
