plant_genus	bee_species	plant_identification	layer	weight
Shorea	Lepidotrigona_ventralis	field_work	Indo-Malaya	1
Shorea	Lepidotrigona_ventralis	field_work	Indo-Malaya	1
Shorea	Lepidotrigona_ventralis	field_work	Indo-Malaya	1
Shorea	Lepidotrigona_ventralis	field_work	Indo-Malaya	1
Vatica	Lepidotrigona_ventralis	field_work	Indo-Malaya	1
Shorea	Tetragonula_melina	field_work	Indo-Malaya	1
Shorea	Tetragonula_melina	field_work	Indo-Malaya	1
Shorea	Tetragonula_collina	field_work	Indo-Malaya	1
Shorea	Tetragonula_melanocephala	field_work	Indo-Malaya	1
Lannea	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Mangifera	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Spondias	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Alstonia	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Calotropis	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Cascabela	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Catharanthus	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Tabernaemontana	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Carica	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Cleome	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Shorea	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Jatropha	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Jatropha	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Albizia	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Butea	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Senna	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Vachellia	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Bombax	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Ceiba	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Artocarpus	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Ficus	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Ficus	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Moringa	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Argemone	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Mimusops	Tetragonula_iridipennis	field_work	Indo-Malaya	1
Pinus	Scaptotrigona_postica	chemical	Neotropics	1
Mangifera	Scaptotrigona_postica	chemical	Neotropics	1
Mimosa	Scaptotrigona_postica	chemical	Neotropics	1
Pinus	Tetragonisca_fiebrigi	chemical	Neotropics	1
Mangifera	Tetragonisca_fiebrigi	chemical	Neotropics	1
Cratoxylum	Lisotrigona_carpenteri	chemical	Indo-Malaya	1
Mangifera	Lisotrigona_cacciae	chemical	Indo-Malaya	1
Mangifera	Lepidotrigona_ventralis	chemical	Indo-Malaya	1
Mangifera	Tetragonula_laeviceps	chemical	Indo-Malaya	1
Mangifera	Heterotrigona_itama	chemical	Indo-Malaya	1
Mangifera	Lisotrigona_furva	chemical	Indo-Malaya	1
Schinus	Melipona_quadrifasciata	chemical	Neotropics	1
Schinus	Melipona_quadrifasciata	chemical	Neotropics	1
Pinus	Axestotrigona_ferruginea	chemical	Afrotropics	1
Cratoxylum	Lisotrigona_furva	chemical	Indo-Malaya	1
Mangifera	Lisotrigona_furva	chemical	Indo-Malaya	1
Mangifera	Tetragonula_laeviceps	chemical	Indo-Malaya	1
Mangifera	Heterotrigona_itama	chemical	Indo-Malaya	1
Croton	Trigona_corvina	field_work	Neotropics	1
Croton	Trigona_fulviventris	field_work	Neotropics	1
Croton	Plebeia_frontalis	field_work	Neotropics	1
Heterotaxis	Trigona_williana	chemical	Neotropics	1
Acacia	Heterotrigona_itama	chemical	Indo-Malaya	1
Mimosa	Scaptotrigona_postica	chemical	Neotropics	1
Mangifera	Tetragonula_sapiens	chemical	Indo-Malaya	1
Corymbia	Tetragonula_carbonaria	chemical	Australia	1
Garcinia	Heterotrigona_itama	field_work	Indo-Malaya	1
Dipterocarpus	Homotrigona_fimbriata	field_work	Indo-Malaya	1
Shorea	Homotrigona_fimbriata	field_work	Indo-Malaya	1
Shorea	Homotrigona_fimbriata	field_work	Indo-Malaya	1
Dipterocarpus	Homotrigona_melanoleuca	field_work	Indo-Malaya	1
Shorea	Homotrigona_melanoleuca	field_work	Indo-Malaya	1
Shorea	Homotrigona_melanoleuca	field_work	Indo-Malaya	1
Dipterocarpus	Geniotrigona_thoracica	field_work	Indo-Malaya	1
Shorea	Geniotrigona_thoracica	field_work	Indo-Malaya	1
Shorea	Geniotrigona_thoracica	field_work	Indo-Malaya	1
Dipterocarpus	Homotrigona_apicalis	field_work	Indo-Malaya	1
Shorea	Homotrigona_apicalis	field_work	Indo-Malaya	1
Shorea	Homotrigona_apicalis	field_work	Indo-Malaya	1
Dipterocarpus	Tetragonula_collina	field_work	Indo-Malaya	1
Shorea	Tetragonula_collina	field_work	Indo-Malaya	1
Shorea	Tetragonula_collina	field_work	Indo-Malaya	1
Dipterocarpus	Tetragonula_atripes	field_work	Indo-Malaya	1
Shorea	Tetragonula_atripes	field_work	Indo-Malaya	1
Shorea	Tetragonula_atripes	field_work	Indo-Malaya	1
Dipterocarpus	Lepidotrigona_ventralis	field_work	Indo-Malaya	1
Shorea	Lepidotrigona_ventralis	field_work	Indo-Malaya	1
Shorea	Lepidotrigona_ventralis	field_work	Indo-Malaya	1
Dipterocarpus	Tetragonula_fuscobalteata	field_work	Indo-Malaya	1
Shorea	Tetragonula_fuscobalteata	field_work	Indo-Malaya	1
Shorea	Tetragonula_fuscobalteata	field_work	Indo-Malaya	1
Dipterocarpus	Tetragonula_laeviceps	field_work	Indo-Malaya	1
Shorea	Tetragonula_laeviceps	field_work	Indo-Malaya	1
Shorea	Tetragonula_laeviceps	field_work	Indo-Malaya	1
Dipterocarpus	Tetragonula_reepeni	field_work	Indo-Malaya	1
Shorea	Tetragonula_reepeni	field_work	Indo-Malaya	1
Shorea	Tetragonula_reepeni	field_work	Indo-Malaya	1
Dipterocarpus	Heterotrigona_itama	field_work	Indo-Malaya	1
Shorea	Heterotrigona_itama	field_work	Indo-Malaya	1
Shorea	Heterotrigona_itama	field_work	Indo-Malaya	1
Dracaena	Lisotrigona_cacciae	chemical	Indo-Malaya	1
Cratoxylum	Lisotrigona_cacciae	chemical	Indo-Malaya	1
Mangifera	Lisotrigona_cacciae	chemical	Indo-Malaya	1
Garcinia	Lisotrigona_cacciae	chemical	Indo-Malaya	1
Baeckea	Heterotrigona_itama	chemical	Indo-Malaya	1
Acacia	Heterotrigona_itama	chemical	Indo-Malaya	1
Garcinia	Tetragonula_pagdeni	chemical	Indo-Malaya	1
Dipterocarpus	Homotrigona_apicalis	chemical	Indo-Malaya	1
Corymbia	Tetragonula_carbonaria	field_work	Australia	1
Lobelia	Scaptotrigona_bipunctata	chemical	Neotropics	1
Lobelia	Melipona_quadrifasciata	chemical	Neotropics	1
Clusia	Frieseomelitta_longipes	chemical	Neotropics	1
Baccharis	Melipona_quadrifasciata	chemical	Neotropics	1
Baccharis	Tetragona_clavipes	chemical	Neotropics	1
Baccharis	Scaptotrigona_sp.	chemical	Neotropics	1
Mimosa	Scaptotrigona_postica	chemical	Neotropics	1
Mangifera	Tetragonula_minor	chemical	Indo-Malaya	1
Schinus	Tetragonisca_angustula	chemical	Neotropics	1
Schinus	Tetragonisca_angustula	chemical	Neotropics	1
Schinus	Tetragonisca_angustula	chemical	Neotropics	1
Schinus	Tetragonisca_angustula	chemical	Neotropics	1
Schinus	Tetragonisca_angustula	chemical	Neotropics	1
Schinus	Tetragonisca_angustula	chemical	Neotropics	1
Schinus	Tetragonisca_angustula	chemical	Neotropics	1
Schinus	Tetragonisca_angustula	chemical	Neotropics	1
Kielmeyera	Melipona_scutellaris	chemical	Neotropics	1
Clusia	Melipona_scutellaris	chemical	Neotropics	1
Liquidambar	Melipona_beecheii	chemical	Neotropics	1
Populus	Melipona_beecheii	chemical	Neotropics	1
Glycyrrhiza	Tetragonula_biroi	chemical	Indo-Malaya	1
Macaranga	Tetragonula_biroi	chemical	Indo-Malaya	1
Clusia	Trigona_spinipes	field_work	Neotropics	1
Clusia	Trigona_spinipes	field_work	Neotropics	1
Anacardium	Wallacetrigona_incisa	chemical	Indo-Malaya	1
Mangifera	Wallacetrigona_incisa	chemical	Indo-Malaya	1
Garcinia	Homotrigona_melanoleuca	chemical	Indo-Malaya	1
Garcinia	Tetragonula_laeviceps	chemical	Indo-Malaya	1
Pinus	Tetragonula_carbonaria	chemical	Australia	1
Pinus	Tetragonula_carbonaria	chemical	Australia	1
Xanthorrhoea	Tetragonula_carbonaria	chemical	Australia	1
Corymbia	Tetragonula_carbonaria	chemical	Australia	1
Callitris	Tetragonula_carbonaria	chemical	Australia	1
