Col_names	Nivel_1
1	Axestotrigona_ferruginea	5
2	Frieseomelitta_longipes	5
3	Frieseomelitta_silvestrii	3
4	Frieseomelitta_varia	1
5	Geniotrigona_thoracica	7
6	Heterotrigona_erythrogastra	7
7	Heterotrigona_hobbyi	7
8	Heterotrigona_itama	7
9	Homotrigona_apicalis	7
10	Homotrigona_binghami	7
11	Homotrigona_canifrons	7
12	Homotrigona_fimbriata	7
13	Homotrigona_haematoptera	7
14	Homotrigona_melanoleuca	7
15	Lepidotrigona_ventralis	7
16	Lestrimelitta_limao	1
17	Lisotrigona_cacciae	3
18	Lisotrigona_carpenteri	3
19	Lisotrigona_furva	3
20	Melipona_beecheii	4
21	Melipona_compressipes	5
22	Melipona_fasciculata	2
23	Melipona_favosa	5
24	Melipona_flavolineata	2
25	Melipona_mandacaia	4
26	Melipona_marginata	5
27	Melipona_quadrifasciata	1
28	Melipona_scutelaris	5
29	Melipona_scutellaris	5
30	Melipona_seminigra	2
31	Melipona_seminigra_merrillae	2
32	Melipona_subnitida	2
33	Nannotrigona_testaceicornis	1
34	Paratrigona_anduzei	5
35	Plebeia_droryana	7
36	Plebeia_emerina	2
37	Plebeia_frontalis	2
38	Plebeia_lucii	5
39	Plebeia_remota	5
40	Scaptotrigona_bipunctata	7
41	Scaptotrigona_depilis	5
42	Scaptotrigona_postica	2
43	Scaptotrigona_sp.	1
44	Tetragona_clavipes	7
45	Tetragonisca_angustula	1
46	Tetragonisca_fiebrigi	5
47	Tetragonula_atripes	7
48	Tetragonula_biroi	2
49	Tetragonula_carbonaria	5
50	Tetragonula_collina	7
51	Tetragonula_fuscobalteata	7
52	Tetragonula_geissleri	7
53	Tetragonula_hockingsi	5
54	Tetragonula_iridipennis	6
55	Tetragonula_laeviceps	7
56	Tetragonula_melanocephala	7
57	Tetragonula_melina	7
58	Tetragonula_minor	1
59	Tetragonula_pagdeni	5
60	Tetragonula_reepeni	7
61	Tetragonula_rufibasalis	7
62	Tetragonula_sapiens	5
63	Trigona_corvina	2
64	Trigona_fulviventris	2
65	Trigona_recursa	1
66	Trigona_spinipes	5
67	Trigona_ungulata	1
68	Trigona_williana	8
69	Wallacetrigona_incisa	1
