Col_names	Nivel_1
1	Axestotrigona_ferruginea	4
2	Frieseomelitta_longipes	2
3	Frieseomelitta_silvestrii	2
4	Frieseomelitta_varia	1
5	Geniotrigona_thoracica	3
6	Heterotrigona_erythrogastra	3
7	Heterotrigona_hobbyi	3
8	Heterotrigona_itama	3
9	Homotrigona_apicalis	3
10	Homotrigona_binghami	3
11	Homotrigona_canifrons	3
12	Homotrigona_fimbriata	3
13	Homotrigona_haematoptera	3
14	Homotrigona_melanoleuca	3
15	Lepidotrigona_ventralis	3
16	Lestrimelitta_limao	1
17	Lisotrigona_cacciae	2
18	Lisotrigona_carpenteri	2
19	Lisotrigona_furva	2
20	Melipona_beecheii	1
21	Melipona_compressipes	2
22	Melipona_fasciculata	6
23	Melipona_favosa	2
24	Melipona_flavolineata	6
25	Melipona_mandacaia	4
26	Melipona_marginata	4
27	Melipona_quadrifasciata	1
28	Melipona_scutellaris	2
29	Melipona_seminigra	6
30	Melipona_seminigra_merrillae	6
31	Melipona_subnitida	6
32	Nannotrigona_testaceicornis	1
33	Paratrigona_anduzei	2
34	Plebeia_droryana	3
35	Plebeia_emerina	6
36	Plebeia_frontalis	6
37	Plebeia_lucii	2
38	Plebeia_remota	4
39	Scaptotrigona_bipunctata	3
40	Scaptotrigona_depilis	2
41	Scaptotrigona_postica	6
42	Scaptotrigona_sp.	1
43	Tetragona_clavipes	3
44	Tetragonisca_angustula	1
45	Tetragonisca_fiebrigi	4
46	Tetragonula_atripes	3
47	Tetragonula_biroi	6
48	Tetragonula_carbonaria	4
49	Tetragonula_collina	3
50	Tetragonula_fuscobalteata	3
51	Tetragonula_geissleri	3
52	Tetragonula_hockingsi	4
53	Tetragonula_iridipennis	5
54	Tetragonula_laeviceps	3
55	Tetragonula_melanocephala	3
56	Tetragonula_melina	3
57	Tetragonula_minor	1
58	Tetragonula_pagdeni	2
59	Tetragonula_reepeni	3
60	Tetragonula_rufibasalis	3
61	Tetragonula_sapiens	4
62	Trigona_corvina	6
63	Trigona_fulviventris	6
64	Trigona_recursa	1
65	Trigona_spinipes	2
66	Trigona_ungulata	1
67	Trigona_williana	3
68	Wallacetrigona_incisa	1
