Row_names	Nivel_1
1	Axestotrigona_ferruginea	5
2	Frieseomelitta_longipes	9
3	Frieseomelitta_silvestrii	4
4	Frieseomelitta_varia	9
5	Geniotrigona_thoracica	3
6	Heterotrigona_erythrogastra	3
7	Heterotrigona_hobbyi	3
8	Heterotrigona_itama	6
9	Homotrigona_apicalis	3
10	Homotrigona_binghami	3
11	Homotrigona_canifrons	3
12	Homotrigona_fimbriata	3
13	Homotrigona_haematoptera	3
14	Homotrigona_melanoleuca	3
15	Lepidotrigona_ventralis	3
16	Lisotrigona_cacciae	6
17	Lisotrigona_carpenteri	6
18	Lisotrigona_furva	6
19	Melipona_beecheii	5
20	Melipona_compressipes	9
21	Melipona_fasciculata	7
22	Melipona_favosa	9
23	Melipona_marginata	5
24	Melipona_quadrifasciata	4
25	Melipona_scutellaris	4
26	Melipona_seminigra_merrillae	9
27	Paratrigona_anduzei	9
28	Plebeia_droryana	4
29	Plebeia_emerina	4
30	Plebeia_frontalis	6
31	Plebeia_lucii	9
32	Plebeia_remota	5
33	Scaptotrigona_bipunctata	4
34	Scaptotrigona_depilis	9
35	Scaptotrigona_postica	10
36	Scaptotrigona_sp.	6
37	Tetragona_clavipes	6
38	Tetragonisca_angustula	4
39	Tetragonisca_fiebrigi	6
40	Tetragonula_atripes	3
41	Tetragonula_biroi	1
42	Tetragonula_carbonaria	5
43	Tetragonula_collina	3
44	Tetragonula_fuscobalteata	3
45	Tetragonula_geissleri	3
46	Tetragonula_hockingsi	5
47	Tetragonula_iridipennis	2
48	Tetragonula_laeviceps	3
49	Tetragonula_melanocephala	3
50	Tetragonula_melina	3
51	Tetragonula_minor	6
52	Tetragonula_pagdeni	6
53	Tetragonula_reepeni	3
54	Tetragonula_rufibasalis	3
55	Tetragonula_sapiens	6
56	Trigona_corvina	6
57	Trigona_fulviventris	6
58	Trigona_spinipes	9
59	Trigona_williana	8
60	Wallacetrigona_incisa	6
