Row_names	Nivel_1
1	Acanthaceae	6
2	Altingiaceae	4
3	Amaranthaceae	1
4	Anacardiaceae	1
5	Apiaceae	1
6	Apocynaceae	6
7	Aquifoliaceae	2
8	Araliaceae	1
9	Araucariaceae	7
10	Arecaceae	2
11	Asparagaceae	3
12	Asphodelaceae	5
13	Asteraceae	1
14	Begoniaceae	1
15	Bignoniaceae	1
16	Bombacaceae	1
17	Boraginaceae	1
18	Brassicaceae	6
19	Bryophyta	1
20	Bursearceae	7
21	Burseraceae	2
22	Cactaceae	2
23	Caesalpiniaceae	1
24	Calophyllaceae	5
25	Campanulaceae	1
26	Cannabaceae	1
27	Caricaceae	6
28	Caryocaraceae	2
29	Caryophyllaceae	4
30	Cecropiaceae	4
31	Chenopodiaceae	1
32	Chrysobalanaceae	2
33	Cleomaceae	6
34	Clethraceae	1
35	Clusiaceae	5
36	Combretaceae	1
37	Commelinaceae	1
38	Connaraceae	2
39	Convolvulaceae	2
40	Cornaceae	6
41	Cucurbitaceae	6
42	Cupressaceae	5
43	Cyperaceae	1
44	Dilleniaceae	1
45	Dipterocarpaceae	7
46	Euphorbiaceae	2
47	Fabaceae	2
48	Flacourtiaceae	2
49	Gentianaceae	2
50	Gesneriaceae	1
51	Humiriaceae	1
52	Hypericaceae	3
53	Iridaceae	2
54	Lacistemaceae	2
55	Lamiaceae	2
56	Lauraceae	2
57	Leguminosae	4
58	Loranthaceae	1
59	Lythraceae	2
60	Malpighiaceae	2
61	Malvaceae	6
62	Melastomataceae	2
63	Meliaceae	2
64	Menispermaceae	2
65	Mimosaceae	2
66	Moraceae	1
67	Moringaceae	6
68	Myristicaceae	7
69	Myrsinaceae	2
70	Myrtaceae	5
71	Nyctaginaceae	1
72	Ochnaceae	2
73	Onagraceae	1
74	Orchidaceae	8
75	Oxalidaceae	1
76	Papaveraceae	6
77	Pedaliaceae	6
78	Phyllanthaceae	2
79	Phytolaccaceae	1
80	Pinaceae	5
81	Piperaceae	1
82	Poaceae	1
83	Podocarpaceae	3
84	Polygonaceae	1
85	Pontederiaceae	2
86	Primulaceae	2
87	Rhamnaceae	1
88	Rosaceae	2
89	Rubiaceae	2
90	Rutaceae	1
91	Salicaceae	2
92	Sapindaceae	2
93	Sapotaceae	6
94	Scrophulariaceae	1
95	Simaroubaceae	2
96	Solanaceae	1
97	Sterculiaceae	1
98	Typhaceae	1
99	Ulmaceae	6
100	Urticaceae	1
101	Vochysiaceae	1
