Row_names	Nivel_1
1	Axestotrigona_ferruginea	6
2	Frieseomelitta_longipes	3
3	Frieseomelitta_silvestrii	3
4	Frieseomelitta_varia	3
5	Geniotrigona_thoracica	7
6	Heterotrigona_erythrogastra	2
7	Heterotrigona_hobbyi	7
8	Heterotrigona_itama	5
9	Homotrigona_apicalis	7
10	Homotrigona_binghami	7
11	Homotrigona_canifrons	7
12	Homotrigona_fimbriata	7
13	Homotrigona_haematoptera	2
14	Homotrigona_melanoleuca	7
15	Lepidotrigona_ventralis	7
16	Lisotrigona_cacciae	4
17	Lisotrigona_carpenteri	4
18	Lisotrigona_furva	4
19	Melipona_beecheii	8
20	Melipona_compressipes	3
21	Melipona_fasciculata	1
22	Melipona_favosa	3
23	Melipona_marginata	6
24	Melipona_quadrifasciata	4
25	Melipona_scutellaris	3
26	Melipona_seminigra_merrillae	5
27	Melipona_subnitida	6
28	Paratrigona_anduzei	3
29	Plebeia_droryana	2
30	Plebeia_emerina	5
31	Plebeia_frontalis	5
32	Plebeia_lucii	3
33	Plebeia_remota	2
34	Scaptotrigona_bipunctata	2
35	Scaptotrigona_depilis	3
36	Scaptotrigona_postica	6
37	Scaptotrigona_sp.	2
38	Tetragona_clavipes	2
39	Tetragonisca_angustula	4
40	Tetragonisca_fiebrigi	6
41	Tetragonula_atripes	7
42	Tetragonula_biroi	5
43	Tetragonula_carbonaria	6
44	Tetragonula_collina	7
45	Tetragonula_fuscobalteata	7
46	Tetragonula_geissleri	7
47	Tetragonula_hockingsi	6
48	Tetragonula_iridipennis	5
49	Tetragonula_laeviceps	7
50	Tetragonula_melanocephala	7
51	Tetragonula_melina	7
52	Tetragonula_minor	4
53	Tetragonula_pagdeni	3
54	Tetragonula_reepeni	7
55	Tetragonula_rufibasalis	7
56	Tetragonula_sapiens	6
57	Trigona_corvina	5
58	Trigona_fulviventris	5
59	Trigona_spinipes	3
60	Trigona_williana	7
61	Wallacetrigona_incisa	4
