Row_names	Nivel_1
1	Axestotrigona_ferruginea	4
2	Frieseomelitta_longipes	7
3	Frieseomelitta_silvestrii	3
4	Frieseomelitta_varia	7
5	Geniotrigona_thoracica	2
6	Heterotrigona_erythrogastra	4
7	Heterotrigona_hobbyi	2
8	Heterotrigona_itama	6
9	Homotrigona_apicalis	2
10	Homotrigona_binghami	2
11	Homotrigona_canifrons	2
12	Homotrigona_fimbriata	2
13	Homotrigona_haematoptera	4
14	Homotrigona_melanoleuca	2
15	Lepidotrigona_ventralis	2
16	Lisotrigona_cacciae	3
17	Lisotrigona_carpenteri	3
18	Lisotrigona_furva	3
19	Melipona_beecheii	8
20	Melipona_compressipes	7
21	Melipona_fasciculata	1
22	Melipona_favosa	7
23	Melipona_marginata	4
24	Melipona_quadrifasciata	3
25	Melipona_scutellaris	7
26	Melipona_seminigra_merrillae	6
27	Melipona_subnitida	8
28	Paratrigona_anduzei	7
29	Plebeia_droryana	3
30	Plebeia_emerina	6
31	Plebeia_frontalis	6
32	Plebeia_lucii	7
33	Plebeia_remota	4
34	Scaptotrigona_bipunctata	3
35	Scaptotrigona_depilis	7
36	Scaptotrigona_postica	6
37	Scaptotrigona_sp.	3
38	Tetragona_clavipes	3
39	Tetragonisca_angustula	3
40	Tetragonisca_fiebrigi	3
41	Tetragonula_atripes	2
42	Tetragonula_biroi	6
43	Tetragonula_carbonaria	4
44	Tetragonula_collina	2
45	Tetragonula_fuscobalteata	2
46	Tetragonula_geissleri	2
47	Tetragonula_hockingsi	4
48	Tetragonula_iridipennis	6
49	Tetragonula_laeviceps	2
50	Tetragonula_melanocephala	2
51	Tetragonula_melina	2
52	Tetragonula_minor	3
53	Tetragonula_pagdeni	7
54	Tetragonula_reepeni	2
55	Tetragonula_rufibasalis	2
56	Tetragonula_sapiens	3
57	Trigona_corvina	6
58	Trigona_fulviventris	6
59	Trigona_spinipes	7
60	Trigona_williana	5
61	Wallacetrigona_incisa	3
