node	taxon	type
Axestotrigona_ferruginea	bee	1
Frieseomelitta_longipes	bee	1
Frieseomelitta_silvestrii	bee	1
Frieseomelitta_varia	bee	1
Geniotrigona_thoracica	bee	1
Heterotrigona_erythrogastra	bee	1
Heterotrigona_hobbyi	bee	1
Heterotrigona_itama	bee	1
Homotrigona_apicalis	bee	1
Homotrigona_binghami	bee	1
Homotrigona_canifrons	bee	1
Homotrigona_fimbriata	bee	1
Homotrigona_haematoptera	bee	1
Homotrigona_melanoleuca	bee	1
Lepidotrigona_ventralis	bee	1
Lisotrigona_cacciae	bee	1
Lisotrigona_carpenteri	bee	1
Lisotrigona_furva	bee	1
Melipona_beecheii	bee	1
Melipona_compressipes	bee	1
Melipona_fasciculata	bee	1
Melipona_favosa	bee	1
Melipona_marginata	bee	1
Melipona_quadrifasciata	bee	1
Melipona_scutellaris	bee	1
Melipona_seminigra_merrillae	bee	1
Paratrigona_anduzei	bee	1
Plebeia_droryana	bee	1
Plebeia_emerina	bee	1
Plebeia_frontalis	bee	1
Plebeia_lucii	bee	1
Plebeia_remota	bee	1
Scaptotrigona_bipunctata	bee	1
Scaptotrigona_depilis	bee	1
Scaptotrigona_postica	bee	1
Scaptotrigona_sp.	bee	1
Tetragona_clavipes	bee	1
Tetragonisca_angustula	bee	1
Tetragonisca_fiebrigi	bee	1
Tetragonula_atripes	bee	1
Tetragonula_biroi	bee	1
Tetragonula_carbonaria	bee	1
Tetragonula_collina	bee	1
Tetragonula_fuscobalteata	bee	1
Tetragonula_geissleri	bee	1
Tetragonula_hockingsi	bee	1
Tetragonula_iridipennis	bee	1
Tetragonula_laeviceps	bee	1
Tetragonula_melanocephala	bee	1
Tetragonula_melina	bee	1
Tetragonula_minor	bee	1
Tetragonula_pagdeni	bee	1
Tetragonula_reepeni	bee	1
Tetragonula_rufibasalis	bee	1
Tetragonula_sapiens	bee	1
Trigona_corvina	bee	1
Trigona_fulviventris	bee	1
Trigona_spinipes	bee	1
Trigona_williana	bee	1
Wallacetrigona_incisa	bee	1
Acacia	plant	2
Agathis	plant	2
Albizia	plant	2
Alstonia	plant	2
Anacardium	plant	2
Araucaria	plant	2
Argemone	plant	2
Artocarpus	plant	2
Baccharis	plant	2
Baeckea	plant	2
Bombax	plant	2
Butea	plant	2
Callitris	plant	2
Calotropis	plant	2
Canarium	plant	2
Carica	plant	2
Cascabela	plant	2
Catharanthus	plant	2
Ceiba	plant	2
Cleome	plant	2
Clusia	plant	2
Corymbia	plant	2
Cratoxylum	plant	2
Croton	plant	2
Dacrydium	plant	2
Dacryodes	plant	2
Dipterocarpus	plant	2
Dracaena	plant	2
Dryobalanops	plant	2
Eucalyptus	plant	2
Euphorbia	plant	2
Ficus	plant	2
Fragaria	plant	2
Garcinia	plant	2
Gluta	plant	2
Glycyrrhiza	plant	2
Heterotaxis	plant	2
Hopea	plant	2
Horsfieldia	plant	2
Jatropha	plant	2
Kielmeyera	plant	2
Knema	plant	2
Lannea	plant	2
Liquidambar	plant	2
Lobelia	plant	2
Lophostemon	plant	2
Macaranga	plant	2
Mangifera	plant	2
Melia	plant	2
Mimosa	plant	2
Mimusops	plant	2
Moringa	plant	2
Morus	plant	2
Parashorea	plant	2
Pinus	plant	2
Populus	plant	2
Pterocarpus	plant	2
Punica	plant	2
Rubs	plant	2
Schinus	plant	2
Senna	plant	2
Shorea	plant	2
Spondias	plant	2
Syncarpia	plant	2
Tabernaemontana	plant	2
Vachellia	plant	2
Vatica	plant	2
Xanthorrhoea	plant	2
Zygia	plant	2
