node	taxon	type
Frieseomelitta_longipes	bee	1
Frieseomelitta_silvestrii	bee	1
Frieseomelitta_varia	bee	1
Melipona_beecheii	bee	1
Melipona_compressipes	bee	1
Melipona_fasciculata	bee	1
Melipona_favosa	bee	1
Melipona_marginata	bee	1
Melipona_quadrifasciata	bee	1
Melipona_scutellaris	bee	1
Melipona_seminigra_merrillae	bee	1
Paratrigona_anduzei	bee	1
Plebeia_droryana	bee	1
Plebeia_emerina	bee	1
Plebeia_frontalis	bee	1
Plebeia_lucii	bee	1
Plebeia_remota	bee	1
Scaptotrigona_bipunctata	bee	1
Scaptotrigona_depilis	bee	1
Scaptotrigona_postica	bee	1
Scaptotrigona_sp.	bee	1
Tetragona_clavipes	bee	1
Tetragonisca_angustula	bee	1
Tetragonisca_fiebrigi	bee	1
Trigona_corvina	bee	1
Trigona_fulviventris	bee	1
Trigona_spinipes	bee	1
Trigona_williana	bee	1
Araucaria	plant	2
Baccharis	plant	2
Clusia	plant	2
Corymbia	plant	2
Croton	plant	2
Dacrydium	plant	2
Eucalyptus	plant	2
Euphorbia	plant	2
Fragaria	plant	2
Heterotaxis	plant	2
Kielmeyera	plant	2
Liquidambar	plant	2
Lobelia	plant	2
Mangifera	plant	2
Mimosa	plant	2
Morus	plant	2
Pinus	plant	2
Populus	plant	2
Pterocarpus	plant	2
Punica	plant	2
Rubs	plant	2
Schinus	plant	2
Zygia	plant	2
