nodes	module
Axestotrigona_ferruginea	4
Frieseomelitta_longipes	7
Frieseomelitta_silvestrii	3
Frieseomelitta_varia	7
Geniotrigona_thoracica	2
Heterotrigona_erythrogastra	4
Heterotrigona_hobbyi	2
Heterotrigona_itama	6
Homotrigona_apicalis	2
Homotrigona_binghami	2
Homotrigona_canifrons	2
Homotrigona_fimbriata	2
Homotrigona_haematoptera	4
Homotrigona_melanoleuca	2
Lepidotrigona_ventralis	2
Lisotrigona_cacciae	3
Lisotrigona_carpenteri	3
Lisotrigona_furva	3
Melipona_beecheii	8
Melipona_compressipes	7
Melipona_fasciculata	1
Melipona_favosa	7
Melipona_marginata	4
Melipona_quadrifasciata	3
Melipona_scutellaris	7
Melipona_seminigra_merrillae	6
Melipona_subnitida	8
Paratrigona_anduzei	7
Plebeia_droryana	3
Plebeia_emerina	6
Plebeia_frontalis	6
Plebeia_lucii	7
Plebeia_remota	4
Scaptotrigona_bipunctata	3
Scaptotrigona_depilis	7
Scaptotrigona_postica	6
Scaptotrigona_sp.	3
Tetragona_clavipes	3
Tetragonisca_angustula	3
Tetragonisca_fiebrigi	3
Tetragonula_atripes	2
Tetragonula_biroi	6
Tetragonula_carbonaria	4
Tetragonula_collina	2
Tetragonula_fuscobalteata	2
Tetragonula_geissleri	2
Tetragonula_hockingsi	4
Tetragonula_iridipennis	6
Tetragonula_laeviceps	2
Tetragonula_melanocephala	2
Tetragonula_melina	2
Tetragonula_minor	3
Tetragonula_pagdeni	7
Tetragonula_reepeni	2
Tetragonula_rufibasalis	2
Tetragonula_sapiens	3
Trigona_corvina	6
Trigona_fulviventris	6
Trigona_spinipes	7
Trigona_williana	5
Wallacetrigona_incisa	3
Altingiaceae	8
Anacardiaceae	3
Apocynaceae	6
Araucariaceae	4
Asparagaceae	3
Asphodelaceae	4
Asteraceae	3
Bursearceae	2
Burseraceae	2
Calophyllaceae	7
Campanulaceae	3
Caricaceae	6
Cleomaceae	6
Clusiaceae	7
Cupressaceae	4
Dipterocarpaceae	2
Euphorbiaceae	6
Fabaceae	6
Hypericaceae	3
Leguminosae	8
Lythraceae	1
Malvaceae	6
Meliaceae	4
Moraceae	6
Moringaceae	6
Myristicaceae	2
Myrtaceae	4
Orchidaceae	5
Papaveraceae	6
Pinaceae	4
Podocarpaceae	3
Rosaceae	1
Salicaceae	8
Sapotaceae	6
